,repo_names,repo_about,repo_keywords,repo_starts,repo_last_updated,repo_url
0,TheAlgorithms/Python,All Algorithms implemented in Python,"['hacktoberfest', 'python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'algorithms-implemented', 'community-driven', 'searches']",159k,"May 25, 2023",https://github.com/TheAlgorithms/Python
1,walter201230/Python,最良心的 Python 教程：,"['python', 'python3']",14.9k,"Mar 24, 2023",https://github.com/walter201230/Python
2,injetlee/Python,Python脚本。模拟登录知乎， 爬虫，操作excel，微信公众号，远程开机,"['python', 'crawler', 'excel', 'wechat']",8.3k,"May 6, 2023",https://github.com/injetlee/Python
3,kubernetes-client/python,Official Python client library for kubernetes,"['kubernetes', 'k8s', 'library', 'client-python', 'k8s-sig-api-machinery']",5.7k,"May 24, 2023",https://github.com/kubernetes-client/python
4,Show-Me-the-Code/python,Show Me the Code Python version.,[],3.5k,"May 6, 2023",https://github.com/Show-Me-the-Code/python
5,xxg1413/python,Python Books && Courses,"['python', 'learning-python', 'python-book', 'python-course']",3k,"May 20, 2023",https://github.com/xxg1413/python
6,jakevdp/PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,"['python', 'numpy', 'scikit-learn', 'jupyter-notebook', 'pandas', 'matplotlib']",38.5k,"May 16, 2023",https://github.com/jakevdp/PythonDataScienceHandbook
7,joeyajames/Python,Python code for YouTube videos.,[],1.4k,"May 15, 2023",https://github.com/joeyajames/Python
8,docker-library/python,Docker Official Image packaging for Python,[],2.2k,"May 23, 2023",https://github.com/docker-library/python
9,exercism/python,Exercism exercises in Python.,"['exercism-track', 'community-contributions-paused']",1.4k,"May 23, 2023",https://github.com/exercism/python
